setting,method,N_train,N_test,D,Q_true,Q,n,standardize_x,n_seeds,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_capture_ratio_top_Q_truth_mean,median_eff_rank_A_mean,median_subspace_cos_to_truth_mean,pca_explained_variance_sum_mean,rmse_mean,rmse_std,wall_sec_mean,wall_sec_std
train200,dkl_svgp,200,200,50,2,2,25,True,5,0.21000000000000002,0.028809720581775864,0.248,0.03187475490101846,1.0488171815872191,0.08247097150537216,0.7342267749781628,0.04026956166666007,0.8748851641646105,0.04798414232526549,,,,,1.4594213485717773,0.09536987561118067,1.9314874000148847,0.12280720774135481
train200,jgp_pca,200,200,50,2,2,25,True,5,0.8800000000000001,0.017606816861659026,0.9269999999999999,0.013638181696985838,0.928045129776001,0.04282649738449865,4.54369175705959,0.06485192530083436,5.414142665808798,0.07727583526887755,,,,0.08295174837112426,1.5686684291454274,0.0725152875563662,24.11492052000249,1.7941074170160407
train200,lmjgp_baseline,200,200,50,2,2,25,True,5,0.901,0.023748684174075853,0.951,0.014628738838327774,0.8510199069976807,0.03870514057543962,4.391799260832009,0.17176909734319484,5.233151593259867,0.20467550360306283,0.1920047253370285,30.184158325195312,0.2018601506948471,,1.4732818841934203,0.08293448552070415,234.08741435999983,4.157817649488957
train200,lmjgp_pls_kl,200,200,50,2,2,25,True,5,0.905,0.010954451150103333,0.942,0.007483314773547849,0.816651713848114,0.0486263086419321,4.242309614894445,0.17932217968531652,5.055023693428259,0.21367555632523752,0.6133647799491883,4.604128026962281,0.2773469194769859,,1.4277488946914674,0.09343785091484119,232.43335911998292,17.33823520139194
train200,xgb_bootstrap,200,200,50,2,2,25,True,5,0.507,0.04874423042781578,0.6380000000000001,0.026570660511172867,0.8767995238304138,0.04202329956506915,2.3704526678033764,0.07347772197886326,2.824568569400478,0.08755410596110606,,,,,1.3689021947292002,0.07291445432188326,13.830526259995532,0.16906380626700626
train500,dkl_svgp,500,200,50,2,2,25,True,5,0.257,0.031240998703626618,0.30700000000000005,0.02336664289109585,0.8316569805145264,0.06307061862216068,0.7210708153750642,0.04493227502065212,0.8592088714041861,0.05354010797127604,,,,,1.2007313251495362,0.07896827913040126,2.2800597799941897,0.3186212205989027
train500,jgp_pca,500,200,50,2,2,25,True,5,0.8869999999999999,0.026758176320519328,0.9270000000000002,0.025999999999999985,0.8984875321388245,0.03356234619014741,4.476355096673298,0.19985862931987228,5.333906086070732,0.2381462453850602,,,,0.06516698896884918,1.525604875992723,0.05354016196184242,23.196940679987893,2.125409675712709
train500,lmjgp_baseline,500,200,50,2,2,25,True,5,0.898,0.013266499161421611,0.9469999999999998,0.013266499161421584,0.8209426760673523,0.0452740288499863,4.38551801767226,0.18764839903391858,5.225667030396933,0.22359685861210793,0.17344154119491578,33.67073841094971,0.16802939027547836,,1.4212857484817505,0.07562810437810907,241.5137971999822,7.2840502907504945
train500,lmjgp_pls_kl,500,200,50,2,2,25,True,5,0.8780000000000001,0.021118712081942895,0.9330000000000002,0.012083045973594539,0.8271909117698669,0.0333352601531184,4.262829787175985,0.1999470101058007,5.079474986825663,0.23825155758701277,0.5836353421211242,5.562779951095581,0.25742286145687104,,1.4309597492218018,0.05936354788990171,240.32556973999598,4.242903978264649
train500,xgb_bootstrap,500,200,50,2,2,25,True,5,0.48600000000000004,0.016552945357246846,0.616,0.013564659966250548,0.8534743070602417,0.02068759094485621,2.209760785446159,0.02753073522140721,2.6330923815698233,0.03280489437949122,,,,,1.3209493299165609,0.037203977679370635,18.488528679998126,3.7343788208162345
