phase,step,sample,reward_mean,reward_std,reward_min,reward_max,adv_mean,adv_std,reward_spread_mean_over_anchors,reward_spread_max_over_anchors
refine,1,0,-0.5457285369054987,0.7495472195992438,-4.648247619912475,0.22629548436534727,0.38,1.3840520221436763,0.11070343220447132,1.81975724360146
refine,1,1,-0.5463624740757429,0.7889315794360598,-4.64829220650123,1.0128697064064025,-0.32,1.4344336861632891,0.11070343220447132,1.81975724360146
refine,1,2,-0.5378894187256459,0.7807647927800919,-4.648257477843522,1.0339123079477344,-0.08,1.4675149062275317,0.11070343220447132,1.81975724360146
refine,1,3,-0.5296034155648435,0.7672582333409487,-4.648274069663023,0.6804675471490121,-0.2,1.3856406460551023,0.11070343220447132,1.81975724360146
refine,1,4,-0.5219594733953221,0.7748493318661143,-4.648335543781939,0.9153010822744474,0.22,1.2694880858046682,0.11070343220447132,1.81975724360146
refine,2,0,-0.5158107925765463,0.7757661288627806,-4.648269900766454,0.9424639272868284,0.04,1.3994284547628715,0.08586586989657329,1.798369414315676
refine,2,1,-0.5254870782633568,0.7584173543757637,-4.648283596581056,0.2821288341264643,-0.1,1.5132745950421556,0.08586586989657329,1.798369414315676
refine,2,2,-0.5136054879469946,0.7767598535112568,-4.648263348079125,0.7470917704592955,-0.02,1.4211263138792412,0.08586586989657329,1.798369414315676
refine,2,3,-0.5477922557928779,0.7990702264507203,-4.648264428246259,0.9146437840941875,-0.02,1.2408061895396878,0.08586586989657329,1.798369414315676
refine,2,4,-0.5458486597211893,0.7787336051061091,-4.648269775242033,0.5184120420981819,0.1,1.4730919862656235,0.08586586989657329,1.798369414315676
refine,3,0,-0.49987797037046616,0.7796685418762476,-4.648260219213194,1.0406002526082712,-0.18,1.4654692081377891,0.13488205567249356,2.7299961774561954
refine,3,1,-0.5190059422692611,0.7808050290525035,-4.648273335480724,0.948740977924155,0.2,1.2961481396815722,0.13488205567249356,2.7299961774561954
refine,3,2,-0.5342618924043403,0.7775188714619453,-4.648259101121412,0.662943187445071,-0.38,1.4267445461609445,0.13488205567249356,2.7299961774561954
refine,3,3,-0.48723199811446805,0.8044448438490789,-4.648256430995181,1.0419899888709725,0.22,1.3006152390311287,0.13488205567249356,2.7299961774561954
refine,3,4,-0.5880575114787545,0.813506366531854,-4.648251535640515,0.5047527273431567,0.14,1.4698299221338498,0.13488205567249356,2.7299961774561954
refine,4,0,-0.5498158744036047,0.7917876111868175,-4.648266263279595,0.46989327396339975,0.18,1.3666016244685206,0.08967891410775501,1.0642265465703693
refine,4,1,-0.5599090117464853,0.7858324323752969,-4.648286919402954,0.30442948448029117,0.14,1.3712767773137557,0.08967891410775501,1.0642265465703693
refine,4,2,-0.5334732138962998,0.7688406995805622,-4.648262493528508,0.600097713712841,0.08,1.4810806865258899,0.08967891410775501,1.0642265465703693
refine,4,3,-0.5587602056495397,0.7769322650380066,-4.648270098345833,0.22661511640636714,-0.12,1.4091131963046828,0.08967891410775501,1.0642265465703693
refine,4,4,-0.5526136596900573,0.770390560055467,-4.648247284281932,0.7219109803914671,-0.28,1.3862178760930768,0.08967891410775501,1.0642265465703693
refine,5,0,-0.5260633138126837,0.7907380835007706,-4.6482589419393285,0.9391064526676631,0.1,1.345362404707371,0.06852060718864716,0.84746550831084
refine,5,1,-0.5542984199077364,0.8157365256676652,-4.648324549330656,0.9595559003903871,-0.04,1.3994284547628717,0.06852060718864716,0.84746550831084
refine,5,2,-0.5400892607575968,0.7918293759424568,-4.648227147393264,0.7590229341365221,0.12,1.4647866738880444,0.06852060718864716,0.84746550831084
refine,5,3,-0.5266457360488198,0.7878671008843614,-4.648287698392978,0.9113010310667865,-0.04,1.413647763765783,0.06852060718864716,0.84746550831084
refine,5,4,-0.5593455129226946,0.7713485468077516,-4.648270578875934,0.19403522523275957,-0.14,1.4284257068535273,0.06852060718864716,0.84746550831084
refine,6,0,-0.5677156235371562,0.7921910893453313,-4.648241403235801,0.22773957990146143,0.18,1.4098226838861685,0.09776865024804432,1.6345558108247347
refine,6,1,-0.5406080959265644,0.7792714935004843,-4.648260595672238,0.5946980710947797,0.06,1.2870120434556935,0.09776865024804432,1.6345558108247347
refine,6,2,-0.5631751306179571,0.756169724245135,-4.648259743408802,0.2335368788846573,-0.3,1.4594519519326423,0.09776865024804432,1.6345558108247347
refine,6,3,-0.5135203447151213,0.7767417340564271,-4.648260796987425,1.0010237628260732,-0.02,1.4489996549343964,0.09776865024804432,1.6345558108247347
refine,6,4,-0.5335106961255865,0.7565991907947945,-4.648255335880985,0.34844982689536064,0.08,1.4119490075778236,0.09776865024804432,1.6345558108247347
refine,7,0,-0.5461702829293948,0.8071463497991246,-4.648255583418067,0.8911582482455854,0.32,1.3919770113044256,0.07732588209646321,1.285495417715652
refine,7,1,-0.5362948680671114,0.7711226311501324,-4.648266102996015,0.6959347191927439,-0.4,1.3711309200802086,0.07732588209646321,1.285495417715652
refine,7,2,-0.5610642353394684,0.789061106700201,-4.648259676434142,0.49773369201110984,-0.08,1.4538225476309001,0.07732588209646321,1.285495417715652
refine,7,3,-0.5381270676134493,0.7903117825946885,-4.6482654047729195,0.7800754219575923,-0.06,1.3915459029439166,0.07732588209646321,1.285495417715652
refine,7,4,-0.5367631663316267,0.7996441816194007,-4.648254606941512,1.0246547158967572,0.22,1.3459569086712995,0.07732588209646321,1.285495417715652
refine,8,0,-0.5217641454470473,0.7840191887354628,-4.6482362766247975,1.028906639643323,0.18,1.437915157441495,0.06661985063354398,0.9349327016289253
refine,8,1,-0.5344986542686402,0.7812223023283726,-4.6482638756958465,0.6721575799186387,-0.2,1.3711309200802089,0.06661985063354398,0.9349327016289253
refine,8,2,-0.5199531159668696,0.7897456917227867,-4.648276035332284,0.9249476413230726,0.08,1.3392535234226568,0.06661985063354398,0.9349327016289253
refine,8,3,-0.5359136734798107,0.7931244822145604,-4.648269337515066,1.0436160697789634,0.14,1.4143549766589711,0.06661985063354398,0.9349327016289253
refine,8,4,-0.5301932728020352,0.7646233102183836,-4.64824291700068,0.7644241876286823,-0.2,1.4560219778561037,0.06661985063354398,0.9349327016289253
