setting,family,expansion,caseno,method,N_train,N_test,d,D,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,n_seeds,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,pca_explained_variance_sum_mean,rmse_mean,rmse_std,vi_best_loss_mean,vi_kl_mean,wall_sec_mean,wall_sec_std
l2_q2_train200,L2_phantom,rff,6,cem_em_transductive_vi_fullcov_ensemble,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.7609999999999999,0.03652396473549934,0.826,0.031999999999999994,1.5294748783111571,0.14849510038630478,6.043114306686518,0.46053456636078793,7.200814833302947,0.5487607826696584,,2.862171921725615,0.32389210991338196,2242.7533447265623,428621.246875,323.47618926001013,1.9641718807539201
l2_q2_train200,L2_phantom,rff,6,dkl_svgp,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.28900000000000003,0.03426368339802363,0.35300000000000004,0.05500909015790027,1.7969428300857544,0.16422330191852377,2.012071487870224,0.10419329764844847,2.397531054392055,0.12415397180350206,,2.705721950531006,0.3076027421236114,,,0.9926255400059745,0.05512714128893909
l2_q2_train200,L2_phantom,rff,6,jgp_pca,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.72,0.045055521304275245,0.783,0.04433959855479073,1.663201880455017,0.1792977814740451,5.93338446836451,0.8008629932734875,7.070063666380491,0.9542871156725053,0.7835513426529008,3.060033070788445,0.36610307308695755,,,10.55878394000465,0.7693182146599301
l2_q2_train200,L2_phantom,rff,6,lmjgp_baseline,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.819,0.032465366161495826,0.868,0.02976575213227446,1.4911072254180908,0.1266549650534311,6.958756328393991,0.22536622223399386,8.291869597005054,0.2685404170151789,,2.7899308681488035,0.27057747043348845,,,57.356153869628905,1.0734543714503353
l2_q2_train200,L2_phantom,rff,6,lmjgp_pls_kl,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.806,0.03426368339802362,0.8699999999999999,0.025298221281347056,1.474171805381775,0.1301468143871438,6.9089297804841365,0.368772883596161,8.232497603183166,0.4394199936580631,,2.739847421646118,0.28075172117899494,,,59.64308180001099,0.8264613632888257
l2_q2_train200,L2_phantom,rff,6,xgb_bootstrap,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.647,0.03776241517699841,0.725,0.033615472627943226,1.5336983919143676,0.10376839781261767,4.795401459794535,0.3159740480461573,5.714073275947112,0.3765063006655417,,2.6845577269850813,0.20003588476768652,,,3.2850108399870805,0.18959593041259387
l2_q2_train500,L2_phantom,rff,6,cem_em_transductive_vi_fullcov_ensemble,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.819,0.02727636339397169,0.882,0.02204540768504862,1.3100687503814696,0.06066545741980379,6.155718028541026,0.27109443806089345,7.334990443669591,0.32302894695453094,,2.466322737737598,0.1334052689490562,791.6226501464844,139308.8578125,315.972395040025,1.8929454762899411
l2_q2_train500,L2_phantom,rff,6,dkl_svgp,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.39099999999999996,0.02690724809414742,0.45899999999999996,0.02437211521390788,1.474751591682434,0.05555679783131319,2.0974642573834323,0.19040335480345713,2.4992828151832027,0.2268795908861669,,2.338954544067383,0.09491178724652088,,,1.0828030800214037,0.050864423397341575
l2_q2_train500,L2_phantom,rff,6,jgp_pca,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.785,0.0264575131106459,0.841,0.01200000000000001,1.3566781044006349,0.07869780018066107,5.814475924827225,0.11396492598812183,6.928375397607828,0.13579758513313717,0.7787158098895671,2.501745312209567,0.16756130395176794,,,9.616310180001893,0.3948652984713952
l2_q2_train500,L2_phantom,rff,6,lmjgp_baseline,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.852,0.028035691537752396,0.908,0.023151673805580433,1.2821857690811158,0.08623071793185712,6.595345655689874,0.28515434031082054,7.858839071718954,0.3397823538136483,,2.4022497653961183,0.18812018238529615,,,56.92100901603699,1.1656417494166893
l2_q2_train500,L2_phantom,rff,6,lmjgp_pls_kl,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.845,0.020493901531919215,0.898,0.02063976744055031,1.2803903818130493,0.08808536679619021,6.489212778217741,0.3023305704190808,7.732373948006689,0.3602490943495541,,2.3983569622039793,0.205366116911096,,,57.96492944000056,0.8004680170581052
l2_q2_train500,L2_phantom,rff,6,xgb_bootstrap,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.7230000000000001,0.050457903246171464,0.784,0.03397057550292605,1.3408031225204469,0.07631238302442807,4.91797337724924,0.1658170627904795,5.860126723980957,0.19758321699049589,,2.3831779045799735,0.11947439495152826,,,4.649484600010328,0.5474977812435122
lh_q5_train200,LH,rff,0,cem_em_transductive_vi_fullcov_ensemble,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,4,0.54625,0.07368641326594748,0.5825,0.05963430220938282,230.25217819213867,119.738644227905,248.197129984946,228.10824710010627,295.74512155120317,271.80774116745266,,550.5523607274591,163.5384382164687,2333.089168548584,100845.501953125,448.63561524999386,56.462529039355815
lh_q5_train200,LH,rff,0,dkl_svgp,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.5940000000000001,0.11905460931858118,0.611,0.11997499739529065,277.2870361328125,138.9809124093349,130.673440607081,65.16189970818726,155.7070082889319,77.64519255671497,,553.1106506347656,153.77393222606818,,,0.9217434599879197,0.01811376055130383
lh_q5_train200,LH,rff,0,jgp_pca,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.43000000000000005,0.10526157893552615,0.471,0.10485227703774486,341.50633850097654,216.55425819770332,150.58928067585816,132.3726955013245,179.4381954396136,157.7317953816554,0.5696586643092526,681.1619606609589,261.46192933892667,,,32.47955785999075,1.8440331657100084
