setting,family,method,prediction_head,final_neighbor_mode,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,n_vem,standardize_x,C_std_median_mean,C_std_median_std,anchor_dispersion_frob_mean,anchor_dispersion_frob_std,best_loss_mean,best_loss_std,cosine_to_ref_median_mean,cosine_to_ref_median_std,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,gamma_entropy_mean,gamma_entropy_std,gamma_mean_mean,gamma_mean_std,kl_coeff_mean,kl_coeff_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,n_seeds,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,map_vem1,mean,projected,1000,200,2,20,2,2,25,100,50,True,0.049787066876888275,0.0,1.1175198554992676,0.0,82.79118347167969,0.0,0.45011776323673597,0.0,0.825,0.0,0.88,0.0,0.5689837336540222,0.0,0.6942062377929688,0.0,0.0,0.0,1.2988369464874268,0.0,6.086251634427563,0.0,7.252216129671456,0.0,1,21.41213339997921,0.0,2.293150856179628,0.0,1.421878499968443,0.0,22.834011899947654,0.0
l2_q2_train1000,L2_phantom,map_vem1,mean,raw,1000,200,2,20,2,2,25,100,50,True,0.049787066876888275,0.0,1.1175198554992676,0.0,82.79118347167969,0.0,0.45011776323673597,0.0,0.8,0.0,0.875,0.0,0.5689837336540222,0.0,0.6942062377929688,0.0,0.0,0.0,1.314826250076294,0.0,5.905736617933765,0.0,7.037119220621726,0.0,1,21.789849399996456,0.0,2.3294823749085047,0.0,1.421878499968443,0.0,23.2117278999649,0.0
l2_q2_train1000,L2_phantom,post_vem1_boundary,mean,projected,1000,200,2,20,2,2,25,100,50,True,0.08036620169878006,0.0,1.0115665197372437,0.0,95.80915832519531,0.0,0.4707528017416933,0.0,0.79,0.0,0.84,0.0,0.5706753730773926,0.0,0.6919900178909302,0.0,41.762630462646484,0.0,1.3173284530639648,0.0,5.742763285111048,0.0,6.8429245168869075,0.0,1,21.81231549999211,0.0,2.2711503331137606,0.0,2.114341599983163,0.0,23.926657099975273,0.0
l2_q2_train1000,L2_phantom,post_vem1_boundary,mean,raw,1000,200,2,20,2,2,25,100,50,True,0.08036620169878006,0.0,1.0115665197372437,0.0,95.80915832519531,0.0,0.4707528017416933,0.0,0.78,0.0,0.85,0.0,0.5706753730773926,0.0,0.6919900178909302,0.0,41.762630462646484,0.0,1.3639492988586426,0.0,5.847627063587822,0.0,6.967877415874149,0.0,1,20.596171000041068,0.0,2.3709432465734017,0.0,2.114341599983163,0.0,22.71051260002423,0.0
l2_q2_train1000,L2_phantom,post_vem1_boundary,posterior,projected,1000,200,2,20,2,2,25,100,50,True,0.08036620169878006,0.0,1.0115665197372437,0.0,95.80915832519531,0.0,0.4707528017416933,0.0,0.82,0.0,0.865,0.0,0.5706753730773926,0.0,0.6919900178909302,0.0,41.762630462646484,0.0,1.267646074295044,0.0,5.959835858124393,0.0,7.101582441316404,0.0,1,37.126639300026,0.0,2.2117550832751456,0.0,2.114341599983163,0.0,39.24098090000916,0.0
l2_q2_train1000,L2_phantom,post_vem1_boundary,posterior,raw,1000,200,2,20,2,2,25,100,50,True,0.08036620169878006,0.0,1.0115665197372437,0.0,95.80915832519531,0.0,0.4707528017416933,0.0,0.825,0.0,0.89,0.0,0.5706753730773926,0.0,0.6919900178909302,0.0,41.762630462646484,0.0,1.2707651853561401,0.0,6.081511813759906,0.0,7.2465682849942334,0.0,1,40.0164744000067,0.0,2.227680739065869,0.0,2.114341599983163,0.0,42.13081599998986,0.0
lh_q5_train1000,LH,map_vem1,mean,projected,1000,200,5,30,5,5,35,100,50,True,0.049787066876888275,0.0,1.046817660331726,0.0,70.93570709228516,0.0,0.3731186280358258,0.0,0.61,0.0,0.615,0.0,0.5168451070785522,0.0,0.7592628002166748,0.0,0.0,0.0,326.596435546875,0.0,122.79179243813091,0.0,146.31544523624333,0.0,1,47.021345900022425,0.0,704.8948082297132,0.0,1.1398011000128463,0.0,48.16114700003527,0.0
lh_q5_train1000,LH,map_vem1,mean,raw,1000,200,5,30,5,5,35,100,50,True,0.049787066876888275,0.0,1.046817660331726,0.0,70.93570709228516,0.0,0.3731186280358258,0.0,0.485,0.0,0.515,0.0,0.5168451070785522,0.0,0.7592628002166748,0.0,0.0,0.0,401.6105041503906,0.0,73.11776434961666,0.0,87.1251899908802,0.0,1,51.318847799964715,0.0,794.9943397905179,0.0,1.1398011000128463,0.0,52.45864889997756,0.0
lh_q5_train1000,LH,post_vem1_boundary,mean,projected,1000,200,5,30,5,5,35,100,50,True,0.04593202844262123,0.0,0.8927983641624451,0.0,86.537353515625,0.0,0.3761629232574054,0.0,0.595,0.0,0.6,0.0,0.5234246253967285,0.0,0.7520444393157959,0.0,127.94417572021484,0.0,298.66961669921875,0.0,109.56852145506917,0.0,130.55894601956308,0.0,1,47.6700026000035,0.0,672.2898378451251,0.0,1.732704099966213,0.0,49.40270669996971,0.0
lh_q5_train1000,LH,post_vem1_boundary,mean,raw,1000,200,5,30,5,5,35,100,50,True,0.04593202844262123,0.0,0.8927983641624451,0.0,86.537353515625,0.0,0.3761629232574054,0.0,0.495,0.0,0.495,0.0,0.5234246253967285,0.0,0.7520444393157959,0.0,127.94417572021484,0.0,353.79180908203125,0.0,50.80342625668122,0.0,60.53601616751605,0.0,1,49.019435000023805,0.0,739.2922565723318,0.0,1.732704099966213,0.0,50.75213909999002,0.0
