setting,family,method,final_neighbor_mode,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,gp_neighbors,pair_neighbors,standardize_x,anchor_dispersion_frob_mean,anchor_dispersion_frob_std,cosine_to_ref_median_mean,cosine_to_ref_median_std,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_frob_W_mean,median_frob_W_std,n_seeds,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,train_gp_loss_mean,train_gp_loss_std,train_loss_mean,train_loss_std,train_pair_loss_mean,train_pair_loss_std,train_sec_mean,train_sec_std,train_smoothness_mean,train_smoothness_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,gp_localC,projected,1000,200,2,20,2,2,25,100,25,100,True,1.3325928449630737,0.0,0.3039664622950336,0.0,0.805,0.0,0.88,0.0,1.3094863891601562,0.0,6.101697506105644,0.0,7.270621020965628,0.0,1.4142135381698608,0.0,1,15.012775300012436,0.0,2.3568046349345275,0.0,20.84679412841797,0.0,20.8719425201416,0.0,0.0,0.0,1.4015091999899596,0.0,2.514112710952759,0.0,16.414284500002395,0.0
l2_q2_train1000,L2_phantom,gp_localC,raw,1000,200,2,20,2,2,25,100,25,100,True,1.3325928449630737,0.0,0.3039664622950336,0.0,0.795,0.0,0.875,0.0,1.288554072380066,0.0,5.942179173482364,0.0,7.080543203892648,0.0,1.4142135381698608,0.0,1,15.393503299972508,0.0,2.273169178212995,0.0,20.84679412841797,0.0,20.8719425201416,0.0,0.0,0.0,1.4015091999899596,0.0,2.514112710952759,0.0,16.795012499962468,0.0
l2_q2_train1000,L2_phantom,gp_pairwise_boundary_localC,projected,1000,200,2,20,2,2,25,100,25,100,True,1.2778102159500122,0.0,0.312768086033261,0.0,0.79,0.0,0.85,0.0,1.3838425874710083,0.0,6.044186406977053,0.0,7.202092319592811,0.0,1.4142135381698608,0.0,1,14.902746000036132,0.0,2.4549102128778664,0.0,23.48503875732422,0.0,23.958229064941406,0.0,0.4479193091392517,0.0,2.7933497999911197,0.0,2.5262932777404785,0.0,17.69609580002725,0.0
l2_q2_train1000,L2_phantom,gp_pairwise_boundary_localC,raw,1000,200,2,20,2,2,25,100,25,100,True,1.2778102159500122,0.0,0.312768086033261,0.0,0.815,0.0,0.895,0.0,1.2715948820114136,0.0,5.997477365571655,0.0,7.146435063891195,0.0,1.4142135381698608,0.0,1,14.99733580002794,0.0,2.2630150719430357,0.0,23.48503875732422,0.0,23.958229064941406,0.0,0.4479193091392517,0.0,2.7933497999911197,0.0,2.5262932777404785,0.0,17.79068560001906,0.0
l2_q2_train1000,L2_phantom,pairwise_boundary_localC,projected,1000,200,2,20,2,2,25,100,25,100,True,0.48779640197753904,0.049328124523860734,0.4344938916873389,0.04186011742923403,0.788,0.022494443758403978,0.861,0.019339079605813735,1.3892348527908325,0.09305385176691407,5.79713385888212,0.13090106846173413,6.907711051484265,0.15597824360719176,1.4142135381698608,0.0,5,15.845777920028194,0.7102682826388074,2.5907760107320934,0.20834427218287346,0.0,0.0,0.31739515662193296,0.0074912489135277845,0.3133305788040161,0.007663907986203895,1.9866589799989014,0.32340015930121957,0.4062731444835663,0.046818156555762255,17.832436900027098,1.0226402139746291
l2_q2_train1000,L2_phantom,pairwise_boundary_localC,raw,1000,200,2,20,2,2,25,100,25,100,True,0.48779640197753904,0.049328124523860734,0.4344938916873389,0.04186011742923403,0.791,0.02267156809750926,0.866,0.01593737745050924,1.335711407661438,0.08915982492781462,5.812188567715092,0.09274795063499751,6.925649843500091,0.1105159996646055,1.4142135381698608,0.0,5,15.995777200011071,0.936539295780996,2.4468050084352213,0.18204952382707779,0.0,0.0,0.31739515662193296,0.0074912489135277845,0.3133305788040161,0.007663907986203895,1.9866589799989014,0.32340015930121957,0.4062731444835663,0.046818156555762255,17.982436180009973,1.2280698743257619
l2_q2_train1000,L2_phantom,pairwise_localC,projected,1000,200,2,20,2,2,25,100,25,100,True,0.48606706261634824,0.026494948410312313,0.4409320493804071,0.04169364659090743,0.788,0.01777638883463116,0.867,0.01691153452528778,1.3497709512710572,0.09325894155125547,5.882188774356817,0.10098966073689344,7.009060234358043,0.12033660297304319,1.4142135381698608,0.0,5,16.10771158001153,0.9772502094133556,2.495153670839098,0.1991912417212109,0.0,0.0,0.3518085598945618,0.005880795195410172,0.34720122814178467,0.006016138878614582,2.0404597399872726,0.3460388352918887,0.4605337977409363,0.05575388432651129,18.148171319998802,1.2967062927482627
l2_q2_train1000,L2_phantom,pairwise_localC,raw,1000,200,2,20,2,2,25,100,25,100,True,0.48606706261634824,0.026494948410312313,0.4409320493804071,0.04169364659090743,0.795,0.01760681686165899,0.8719999999999999,0.01363818169698587,1.338021492958069,0.08604067020034373,5.8223224956944195,0.1145863538234205,6.937725163477478,0.13653806207054933,1.4142135381698608,0.0,5,15.881673920003232,1.0435477091704242,2.4550393344356807,0.15815279082563324,0.0,0.0,0.3518085598945618,0.005880795195410172,0.34720122814178467,0.006016138878614582,2.0404597399872726,0.3460388352918887,0.4605337977409363,0.05575388432651129,17.922133659990504,1.3571242949975957
l2_q2_train1000,L2_phantom,pls_static,projected,1000,200,2,20,2,2,25,100,25,100,True,5.149010746663407e-07,7.932906012694369e-08,0.7071067813668828,2.3841856711115383e-08,0.7849999999999999,0.04147288270665544,0.8460000000000001,0.030232432915661935,1.422939157485962,0.11617286863658768,5.973062561938621,0.3519704406405186,7.117343031003713,0.4193986479858744,1.4142135620117187,4.7683715820312496e-08,5,17.360110159986654,1.2913542475511242,2.6077656322565947,0.23244039401401573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.360110159986654,1.2913542475511242
l2_q2_train1000,L2_phantom,pls_static,raw,1000,200,2,20,2,2,25,100,25,100,True,5.149010746663407e-07,7.932906012694369e-08,0.7071067813668828,2.3841856711115383e-08,0.7769999999999999,0.041545156155682016,0.853,0.03234192325759245,1.3640216588974,0.1097156097813186,5.800385442525295,0.18357368217812,6.911585552369279,0.21874153400832227,1.4142135620117187,4.7683715820312496e-08,5,17.613257720007095,1.568284643647611,2.4856328764097113,0.20004071372647717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.613257720007095,1.568284643647611
