setting,seed,method,N_train,N_test,D,Q_true,Q,n,standardize_x,jump_amp,noise_std,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,dkl_epochs,median_capture_ratio_top_Q_truth,median_eff_rank_A,median_subspace_cos_to_truth,n_bad_sig2,pca_explained_variance_sum,xgb_boots
train200_q5,0,xgb_bootstrap,200,200,50,5,5,25,True,1.5,0.1,1.6215021353952876,1.0335958003997803,14.005349599989131,0.465,2.526909018595227,0.585,3.0109978100818666,ok,,,,,,,30
train200_q5,0,dkl_svgp,200,200,50,5,5,25,True,1.5,0.1,1.6422855854034424,1.2150548696517944,2.3618442000006326,0.16,0.8163389532289119,0.18,0.9727278593604606,ok,80,,,,,,
train200_q5,0,jgp_pca,200,200,50,5,5,25,True,1.5,0.1,2.070048716359383,1.3761695623397827,61.534419999981765,0.455,2.705299680540678,0.54,3.2235633945584357,ok,,,,,0,0.19633322954177856,
train200_q5,0,lmjgp_baseline,200,200,50,5,5,25,True,1.5,0.1,1.76841139793396,1.028040885925293,506.15930050000316,0.745,4.085622332059744,0.83,4.868319280245532,ok,,0.2356717586517334,40.00160217285156,0.26392053067684174,,,
train200_q5,0,lmjgp_pls_kl,200,200,50,5,5,25,True,1.5,0.1,1.8388608694076538,1.0703890323638916,503.30723939999007,0.73,3.6265773643421313,0.79,4.321333463836825,ok,,0.7239584922790527,7.651870489120483,0.32566630840301514,,,
train200_q5,1,xgb_bootstrap,200,200,50,5,5,25,True,1.5,0.1,1.4088313189312542,0.899564802646637,13.807136200019158,0.525,2.484594929625446,0.625,2.9605774632130077,ok,,,,,,,30
train200_q5,1,dkl_svgp,200,200,50,5,5,25,True,1.5,0.1,1.4196189641952515,1.057661533355713,1.810541299986653,0.175,0.8286042032165671,0.215,0.9873428061516464,ok,80,,,,,,
train200_q5,1,jgp_pca,200,200,50,5,5,25,True,1.5,0.1,1.9525662121755085,1.2456450462341309,69.76687990000937,0.545,3.0383618805327903,0.61,3.62043148415622,ok,,,,,0,0.19327008724212646,
train200_q5,1,lmjgp_baseline,200,200,50,5,5,25,True,1.5,0.1,1.5830905437469482,0.9278458952903748,527.1666675999877,0.78,4.098425677164622,0.865,4.883575406916028,ok,,0.2408239245414734,38.92795372009277,0.2945409268140793,,,
train200_q5,1,lmjgp_pls_kl,200,200,50,5,5,25,True,1.5,0.1,1.5334081649780273,0.8981677293777466,516.6519085000036,0.79,3.9017702067450575,0.87,4.649245960775896,ok,,0.6549317836761475,9.824607849121094,0.33398836851119995,,,
train200_q5,2,xgb_bootstrap,200,200,50,5,5,25,True,1.5,0.1,1.4494169261744967,0.9012124538421631,13.759061999968253,0.59,2.6971245975484806,0.715,3.2138221823479425,ok,,,,,,,30
