setting,family,seed,variant,status,mode,kind,init,projection_init,kcov_lambda,cem_updates,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,w_var,w_cov_lengthscale,standardize_x,standardize_y_for_head,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,init_sec,train_sec,pred_sec,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,Q_true,expansion,fallback_count,history_json,meanw_cem_failed,meanw_cem_inlier_rate,n_total_neighbors,noise_std,noise_var
l2_q2_train1000,L2_phantom,0,original_meanw_jumpgp_cem,ok,anchor,original,cem,pls,0.0,0,1000,200,200,2,20,2,25,0.02,,True,True,2.25370978528544,1.2696621417999268,16.2816751000355,0.8,5.852561751399146,0.875,6.973757459074752,16.2816751000355,16.2816751000355,0.0,0.9412,0.9412,0.0,23.53,7.0,24.0,25.0,,,,,,2,rff,,,0,0.9412,25,2.0,4.0
l2_q2_train1000,L2_phantom,0,fixed_label_hyperopt_kcov0,ok,anchor,fixed_label_hyperopt,cem,pls,0.0,0,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,2.2657035734452506,1.2771711349487305,0.5092597000184469,0.81,5.928189488650193,0.875,7.063873466247396,16.786680400022306,46.536155299982056,0.5092597000184469,0.9412,0.9412,0.0,23.53,7.0,24.0,25.0,1.0,1.96286668844371,0.05152713960673972,0.2038232196610826,0.0,2,rff,0,[],0,0.9412,25,2.0,4.0
l2_q2_train1000,L2_phantom,0,self_cem1_kcov0.05,ok,anchor,self_cem,cem,pls,0.05,1,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,2.262933589559313,1.2757681608200073,1.064536300022155,0.775,5.632371264656358,0.87,6.7113843112864835,16.595080800005235,102.12236619996838,1.064536300022155,0.9412,0.9242,0.0258,23.105,7.0,24.0,24.0,4.7311453407085065,1.8152592321811802,0.04199097296763239,0.18196931008070405,0.014593661085720832,2,rff,0,"[{""changed_frac"": 0.0258, ""inlier_frac"": 0.9242, ""mean_lengthscale"": 1.96286668844371, ""mean_noise_var"": 0.2038232196610826, ""mean_signal_var"": 0.05152713960673972, ""outer"": 1.0}]",0,0.9412,25,2.0,4.0
l2_q2_train1000,L2_phantom,0,self_cem1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,1,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,2.262933589559313,1.2756717205047607,0.8141756000113674,0.775,5.642018472225584,0.87,6.722879668123863,18.293644699966535,103.2362843999872,0.8141756000113674,0.9412,0.9242,0.0258,23.105,7.0,24.0,24.0,4.7311453407085065,1.8152592321811802,0.04199097296763239,0.18196931008070405,0.014593661085720832,2,rff,0,"[{""changed_frac"": 0.0258, ""inlier_frac"": 0.9242, ""mean_lengthscale"": 1.96286668844371, ""mean_noise_var"": 0.2038232196610826, ""mean_signal_var"": 0.05152713960673972, ""outer"": 1.0}]",0,0.9412,25,2.0,4.0
l2_q2_train1000,L2_phantom,0,self_cem1_response_kcov0.05,ok,anchor,self_cem,response,pls,0.05,1,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,2.4663364696258525,1.5577389001846313,0.9072283999994397,0.54,3.753438562929193,0.6,4.4724979055793135,16.642555200029165,98.78212070005247,0.9072283999994397,0.7200000000000001,0.7644000000000001,0.13920000000000002,19.11,14.0,19.0,24.0,2.4878192590081363,0.2761363184843432,0.1460616647071961,0.0401145460472566,0.03644945071769103,2,rff,0,"[{""changed_frac"": 0.13920000000000002, ""inlier_frac"": 0.7644000000000001, ""mean_lengthscale"": 0.2718124065058268, ""mean_noise_var"": 0.030687633376245547, ""mean_signal_var"": 0.2607366252768303, ""outer"": 1.0}]",0,0.9412,25,2.0,4.0
lh_q5_train1000,LH,0,original_meanw_jumpgp_cem,ok,anchor,original,cem,pls,0.0,0,1000,200,200,5,30,5,35,0.02,,True,True,684.2995904178458,322.5732116699219,46.70469270000467,0.53,247.95788570338712,0.57,295.4600444065385,46.70469270000467,46.70469270000467,0.0,0.6050000000000001,0.6050000000000001,0.0,21.175,5.0,23.0,34.0,,,,,,5,rff,,,0,0.6050000000000001,35,2.0,4.0
lh_q5_train1000,LH,0,fixed_label_hyperopt_kcov0,ok,anchor,fixed_label_hyperopt,cem,pls,0.0,0,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,671.6878740214124,311.6141052246094,0.5182385999942198,0.68,422.6450650721519,0.71,503.61265720663704,47.09192490001442,45.03528929996537,0.5182385999942198,0.6050000000000001,0.6050000000000001,0.0,21.175,5.0,23.0,34.0,1.0,9.632133878286933,0.8237098953699578,0.006064897366180713,0.0,5,rff,0,[],0,0.6050000000000001,35,2.0,4.0
lh_q5_train1000,LH,0,self_cem1_kcov0.05,ok,anchor,self_cem,cem,pls,0.05,1,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,668.0912443986681,300.17034912109375,0.7963661999674514,0.69,262.7799681604232,0.7,313.1216449986323,47.071456099976785,106.33631869999226,0.7963661999674514,0.6050000000000001,0.6392857142857143,0.06028571428571429,22.375,3.0,26.0,34.0,3.586122107328718,11.657841327568134,0.49502007333729475,0.0018365550450397707,0.40675163305471584,5,rff,0,"[{""changed_frac"": 0.06028571428571429, ""inlier_frac"": 0.6392857142857143, ""mean_lengthscale"": 9.632133878286933, ""mean_noise_var"": 0.006064897366180713, ""mean_signal_var"": 0.8237098953699578, ""outer"": 1.0}]",0,0.6050000000000001,35,2.0,4.0
lh_q5_train1000,LH,0,self_cem1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,1,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,668.0912443986681,299.9403076171875,0.8240022999816574,0.69,281.7249755327115,0.705,335.69601364038755,46.239496499998495,101.06320229999255,0.8240022999816574,0.6050000000000001,0.6392857142857143,0.06028571428571429,22.375,3.0,26.0,34.0,3.586122107328718,11.657841327568134,0.49502007333729475,0.0018365550450397707,0.40675163305471584,5,rff,0,"[{""changed_frac"": 0.06028571428571429, ""inlier_frac"": 0.6392857142857143, ""mean_lengthscale"": 9.632133878286933, ""mean_noise_var"": 0.006064897366180713, ""mean_signal_var"": 0.8237098953699578, ""outer"": 1.0}]",0,0.6050000000000001,35,2.0,4.0
lh_q5_train1000,LH,0,self_cem1_response_kcov0.05,ok,anchor,self_cem,response,pls,0.05,1,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,796.3613146623322,416.4035949707031,0.9902259000227787,0.665,287.7590078892299,0.68,342.8860066625901,46.45206209999742,99.40198900003452,0.9902259000227787,0.6857142857142857,0.7938571428571429,0.12614285714285714,27.785,22.0,28.0,34.0,3.5796467873588758,14.741437635840263,0.5743509163276883,0.060980853650004295,0.8072125688257845,5,rff,0,"[{""changed_frac"": 0.12614285714285714, ""inlier_frac"": 0.7938571428571429, ""mean_lengthscale"": 5.7775533061891196, ""mean_noise_var"": 0.09696640461499026, ""mean_signal_var"": 0.7934057652180433, ""outer"": 1.0}]",0,0.6050000000000001,35,2.0,4.0
