setting,family,variant,mode,background,N_train,N_test,n_train_anchors,n_test_eval,Q,observed_dim,n_train_neighbors,n_candidate,m_inducing,R_std_median_mean,R_std_median_std,anchor_dispersion_frob_mean,anchor_dispersion_frob_std,cosine_to_ref_median_mean,cosine_to_ref_median_std,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,gamma_entropy_mean,gamma_entropy_std,gamma_mean_mean,gamma_mean_std,grad_data_over_scaled_KL_R_log_std_final_mean,grad_data_over_scaled_KL_R_log_std_final_std,grad_data_over_scaled_KL_R_mu_final_mean,grad_data_over_scaled_KL_R_mu_final_std,kl_per_anchor_mean,kl_per_anchor_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_frob_W_mean,median_frob_W_std,n_runs,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,soft_coverage_below_min_fraction_mean,soft_coverage_below_min_fraction_std,soft_coverage_mean_mean,soft_coverage_mean_std,soft_coverage_min_mean,soft_coverage_min_std,train_sec_mean,train_sec_std,visited_train_fraction_mean,visited_train_fraction_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,anchor_background,anchor,normal,1000,200,32,60,2,20,25,70,32,0.048869866877794266,0.0,0.32264620065689087,0.0,0.6849282909520007,0.0,0.7666666666666667,0.0,0.8666666666666667,0.0,0.6425026059150696,0.0,0.579059362411499,0.0,0.195454503442165,0.0,0.9230811542970584,0.0,206.01290893554688,0.0,1.3607714176177979,0.0,6.105314826626113,0.0,7.274931324219662,0.0,1.4142135381698608,0.0,1,16.9960992000415,0.0,2.373514317544715,0.0,0.0,0.0,0.6079625487327576,0.0,0.2142520695924759,0.0,3.1041437000385486,0.0,0.453000009059906,0.0,16.9960992000415,0.0
l2_q2_train1000,L2_phantom,anchor_coverage,anchor,uniform,1000,200,32,60,2,20,25,70,32,0.04885883256793022,0.0,0.3229927718639374,0.0,0.6849585111938883,0.0,0.7833333333333333,0.0,0.8666666666666667,0.0,0.6209818720817566,0.0,0.618930995464325,0.0,0.20584318675296176,0.0,0.9609271108185266,0.0,206.8778076171875,0.0,1.381978988647461,0.0,6.11808345376818,0.0,7.290146081885882,0.0,1.4142135381698608,0.0,1,17.938179299992044,0.0,2.402614686272861,0.0,0.0,0.0,0.6522789597511292,0.0,0.2168494164943695,0.0,2.969523899955675,0.0,0.453000009059906,0.0,17.938179299992044,0.0
l2_q2_train1000,L2_phantom,anchor_floor,anchor,uniform,1000,200,32,60,2,20,25,70,32,0.04885883256793022,0.0,0.3229927718639374,0.0,0.6849585111938883,0.0,0.7833333333333333,0.0,0.8666666666666667,0.0,0.6209818720817566,0.0,0.618930995464325,0.0,0.20584318675296176,0.0,0.9609271108185266,0.0,206.8778076171875,0.0,1.381978988647461,0.0,6.11808345376818,0.0,7.290146081885882,0.0,1.4142135381698608,0.0,1,18.14612579997629,0.0,2.402614686272861,0.0,0.0,0.0,0.6522789597511292,0.0,0.2168494164943695,0.0,2.947355800017249,0.0,0.453000009059906,0.0,18.14612579997629,0.0
l2_q2_train1000,L2_phantom,anchor_uniform,anchor,uniform,1000,200,32,60,2,20,25,70,32,0.04885656386613846,0.0,0.322804719209671,0.0,0.6847720380563258,0.0,0.7666666666666667,0.0,0.8666666666666667,0.0,0.6199864745140076,0.0,0.6182100176811218,0.0,0.20150239671792108,0.0,0.9578937124931175,0.0,205.96743774414062,0.0,1.3924520015716553,0.0,6.17172479623997,0.0,7.354063683795508,0.0,1.4142135381698608,0.0,1,18.836896399967372,0.0,2.434620276295838,0.0,0.0,0.0,0.6521243453025818,0.0,0.20188871026039124,0.0,4.85715729999356,0.0,0.453000009059906,0.0,18.836896399967372,0.0
l2_q2_train1000,L2_phantom,pointwise_background,pointwise,normal,1000,200,32,60,2,20,25,70,32,0.04961904510855675,0.0,0.19917087256908417,0.0,0.7017273249010916,0.0,0.7833333333333333,0.0,0.9,0.0,0.6494086384773254,0.0,0.6092944741249084,0.0,0.43159471847302533,0.0,0.8165358265076474,0.0,214.5607452392578,0.0,1.3128740787506104,0.0,6.604154951308753,0.0,7.869335994885406,0.0,1.4142135381698608,0.0,1,17.653117000008933,0.0,2.2311674083518556,0.0,0.0,0.0,0.6350667476654053,0.0,0.375,0.0,3.231256900005974,0.0,0.453000009059906,0.0,17.653117000008933,0.0
l2_q2_train1000,L2_phantom,pointwise_coverage,pointwise,uniform,1000,200,32,60,2,20,25,70,32,0.04961594566702843,0.0,0.19835983216762543,0.0,0.7017348946912372,0.0,0.8,0.0,0.8833333333333333,0.0,0.6332346796989441,0.0,0.6354457139968872,0.0,0.40140345718176584,0.0,0.7016139238052507,0.0,214.860595703125,0.0,1.309302806854248,0.0,6.610524201196557,0.0,7.876925424232847,0.0,1.4142135381698608,0.0,1,17.606972500041593,0.0,2.226426103634245,0.0,0.0,0.0,0.6644213199615479,0.0,0.375,0.0,3.303683899983298,0.0,0.453000009059906,0.0,17.606972500041593,0.0
lh_q5_train1000,LH,anchor_background,anchor,normal,1000,200,32,60,5,30,35,70,32,0.05039513483643532,0.0,0.45299240946769714,0.0,0.43309005419226865,0.0,0.65,0.0,0.6833333333333333,0.0,0.6409205794334412,0.0,0.6504825353622437,0.0,0.814795687953656,0.0,10.162770719502634,0.0,265.31207275390625,0.0,355.2911071777344,0.0,480.1490382020464,0.0,572.1328674282834,0.0,2.2360680103302,0.0,1,72.88604489999125,0.0,726.6589978188906,0.0,0.0,0.0,0.6532180309295654,0.0,0.3845617473125458,0.0,15.40725410002051,0.0,0.5900000333786011,0.0,72.88604489999125,0.0
lh_q5_train1000,LH,anchor_coverage,anchor,uniform,1000,200,32,60,5,30,35,70,32,0.05037995055317879,0.0,0.4508073031902313,0.0,0.4330797783518111,0.0,0.6333333333333333,0.0,0.6666666666666666,0.0,0.6164758801460266,0.0,0.6845728158950806,0.0,0.8179571375427777,0.0,10.188301384809158,0.0,265.3234558105469,0.0,365.24920654296875,0.0,448.57639066448814,0.0,534.5117374649561,0.0,2.2360680103302,0.0,1,81.43600879999576,0.0,741.8580833697962,0.0,0.0,0.0,0.6969265937805176,0.0,0.38025155663490295,0.0,17.62610339996172,0.0,0.5900000333786011,0.0,81.43600879999576,0.0
lh_q5_train1000,LH,anchor_floor,anchor,uniform,1000,200,32,60,5,30,35,70,32,0.05037995055317879,0.0,0.4508073031902313,0.0,0.4330797783518111,0.0,0.6333333333333333,0.0,0.6666666666666666,0.0,0.6164758801460266,0.0,0.6845728158950806,0.0,0.8179571375427777,0.0,10.188301384809158,0.0,265.3234558105469,0.0,365.24920654296875,0.0,448.57639066448814,0.0,534.5117374649561,0.0,2.2360680103302,0.0,1,56.51010289997794,0.0,741.8580833697962,0.0,0.0,0.0,0.6969265937805176,0.0,0.38025155663490295,0.0,11.589164200006053,0.0,0.5900000333786011,0.0,56.51010289997794,0.0
lh_q5_train1000,LH,anchor_uniform,anchor,uniform,1000,200,32,60,5,30,35,70,32,0.05038028210401535,0.0,0.4508078992366791,0.0,0.4330783955240929,0.0,0.6333333333333333,0.0,0.6666666666666666,0.0,0.6164630651473999,0.0,0.6845605969429016,0.0,0.815159080976158,0.0,10.150451036012047,0.0,265.3236389160156,0.0,363.4504699707031,0.0,443.712181686122,0.0,528.7156749736429,0.0,2.2360680103302,0.0,1,55.07682460005162,0.0,736.1801908170447,0.0,0.0,0.0,0.6969200968742371,0.0,0.3801403343677521,0.0,12.077263100014534,0.0,0.5900000333786011,0.0,55.07682460005162,0.0
